,Portfolio,date,ret
0,First,1950-01-01,0.005686265527067862
1,First,1950-02-01,0.0004485084900185223
2,First,1950-03-01,0.0018363322731050947
3,First,1950-04-01,0.0015364317558222474
4,First,1950-05-01,0.0014658825090419195
5,First,1950-06-01,0.006767454222131447
6,First,1950-07-01,0.00769454165022547
7,First,1950-08-01,0.0023047866483092184
8,First,1950-09-01,0.006831288013275017
9,First,1950-10-01,0.007415772442593216
10,First,1950-11-01,0.004274753793579432
11,First,1950-12-01,0.002041371675573304
12,First,1951-01-01,0.006868679967478427
13,First,1951-02-01,0.0017813580281257956
14,First,1951-03-01,0.006178892101955913
15,First,1951-04-01,0.005249501704914007
16,First,1951-05-01,0.007728393821043058
17,First,1951-06-01,0.0019325682383868235
18,First,1951-07-01,0.006659376071834024
19,First,1951-08-01,0.004318041973772618
20,First,1951-09-01,0.0019296302068088956
21,First,1951-10-01,0.0013825332770062047
22,First,1951-11-01,0.004148241404148282
23,First,1951-12-01,0.004856038671794333
24,First,1952-01-01,0.001536149895237331
25,First,1952-02-01,0.0001241243063352687
26,First,1952-03-01,0.0039261102407538405
27,First,1952-04-01,0.006068694401527181
28,First,1952-05-01,0.007655004098112861
29,First,1952-06-01,0.005212783381128867
30,First,1952-07-01,0.007642688104563353
31,First,1952-08-01,0.007205752092448124
32,First,1952-09-01,0.0018178572770832329
33,First,1952-10-01,0.007217728589485358
34,First,1952-11-01,0.006089599469760449
35,First,1952-12-01,0.0023155440858243985
36,First,1953-01-01,0.006642029609862204
37,First,1953-02-01,0.00721018094036447
38,First,1953-03-01,0.0024953157969788103
39,First,1953-04-01,0.004392017366919142
40,First,1953-05-01,0.0005957233885283076
41,First,1953-06-01,0.0048603200845921506
42,First,1953-07-01,0.001982553330246813
43,First,1953-08-01,0.006374697050863736
44,First,1953-09-01,0.001446930301461688
45,First,1953-10-01,0.002606185468756391
46,First,1953-11-01,0.00012062063991722475
47,First,1953-12-01,0.00027126601338824476
48,First,1954-01-01,0.004139182014961171
49,First,1954-02-01,0.0039026044535548014
50,First,1954-03-01,0.001064086024103981
51,First,1954-04-01,0.002146354207579365
52,First,1954-05-01,2.6509244110930105e-05
53,First,1954-06-01,0.0031755645651318255
54,First,1954-07-01,0.004798942366974721
55,First,1954-08-01,0.0035608230940245844
56,First,1954-09-01,0.006959186227571412
57,First,1954-10-01,0.005137427095084915
58,First,1954-11-01,0.00221736593342729
59,First,1954-12-01,0.006758517594317359
60,First,1955-01-01,0.004162389585858477
61,First,1955-02-01,0.006323419341698899
